input_id,source_file,source_index,predicted_class_id,predicted_class_name,predicted_is_defect,confidence,entropy,route,route_reason,production_auto_accept_enabled_for_class,class_auto_accept_threshold,class_margin_threshold,strongest_other_class_probability,predicted_vs_best_other_margin,margin_requirement_met,global_abstain_threshold,top_1_class,top_1_probability,top_2_class,top_2_probability,top_3_class,top_3_probability,inference_latency_ms_estimate,probability_normal,probability_center,probability_donut,probability_edge_loc,probability_edge_ring,probability_loc,probability_near_full,probability_random,probability_scratch,source_height,source_width,source_active_dies,source_failed_dies,source_failed_ratio,preprocessing_transform,monitoring_status,auto_clearance_suspended,effective_route,monitoring_override_applied,monitoring_reason,normalized_entropy,probability_margin,queue_priority
record_000788331:0,artifacts/input_files/record_000788331.npy,0,4,Edge-Ring,True,0.396675705909729,1.1102935075759888,ABSTAIN,Confidence is below the frozen abstain threshold.,False,,,0.3404669761657715,0.05620872974395752,True,0.7762330770492554,Edge-Ring,0.396675705909729,Edge-Loc,0.3404669761657715,Scratch,0.258607417345047,0.009956374924513511,0.0028032714035362005,1.1216067008490427e-07,6.0095637309132144e-05,0.3404669761657715,0.396675705909729,0.0010750778019428253,7.386456104541139e-07,0.000310680567054078,0.258607417345047,33,37,951,149,0.15667718191377497,"{'source_height': 33, 'source_width': 37, 'resized_height': 86, 'resized_width': 96, 'padding_top': 5, 'padding_bottom': 5, 'padding_left': 0, 'padding_right': 0, 'scale': 2.5945945945945947}",GREEN,False,ABSTAIN,False,All immediate drift features are within limits.,0.5053163518323833,0.05620872974395752,1
record_000649020:0,artifacts/input_files/record_000649020.npy,0,8,Scratch,True,0.4071877598762512,1.1969362497329712,ABSTAIN,Confidence is below the frozen abstain threshold.,False,,,0.3913978338241577,0.015789926052093506,True,0.7762330770492554,Scratch,0.4071877598762512,Edge-Loc,0.3913978338241577,Normal,0.15228648483753204,0.01562695251777768,0.15228648483753204,1.496083950769389e-05,3.1213153306453023e-06,0.3913978338241577,0.01358018908649683,0.03550891950726509,9.334865325172359e-08,2.0613202650565654e-05,0.4071877598762512,34,31,811,128,0.15782983970406905,"{'source_height': 34, 'source_width': 31, 'resized_height': 96, 'resized_width': 88, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 4, 'padding_right': 4, 'scale': 2.823529411764706}",GREEN,False,ABSTAIN,False,All immediate drift features are within limits.,0.5447491631392833,0.015789926052093506,1
record_000714544:0,artifacts/input_files/record_000714544.npy,0,1,Center,True,0.4130478501319885,1.1478524208068848,ABSTAIN,Confidence is below the frozen abstain threshold.,False,,,0.3151421546936035,0.09790569543838501,True,0.7762330770492554,Center,0.4130478501319885,Normal,0.3151421546936035,Loc,0.2577398419380188,0.011470062418084126,0.3151421546936035,0.4130478501319885,8.974403499451e-06,0.005015682429075241,2.877589395211544e-06,0.2577398419380188,2.165640111684297e-08,4.166386588622117e-06,0.009038479998707771,41,41,1294,81,0.062596599690881,"{'source_height': 41, 'source_width': 41, 'resized_height': 96, 'resized_width': 96, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 0, 'padding_right': 0, 'scale': 2.341463414634146}",GREEN,False,ABSTAIN,False,All immediate drift features are within limits.,0.5224101498985009,0.09790569543838501,1
record_000703027:0,artifacts/input_files/record_000703027.npy,0,0,Normal,False,0.4384123980998993,1.2176871299743652,ABSTAIN,Confidence is below the frozen abstain threshold.,True,0.9441788792610168,0.1,0.33581745624542236,0.10259494185447693,True,0.7762330770492554,Normal,0.4384123980998993,Loc,0.33581745624542236,Scratch,0.13480797410011292,0.012193358998047188,0.4384123980998993,0.00010133569594472647,6.75125235716223e-08,0.09076855331659317,9.061246964847669e-05,0.33581745624542236,1.545215622122953e-10,1.6398614661738975e-06,0.13480797410011292,25,27,516,105,0.20348837209302326,"{'source_height': 25, 'source_width': 27, 'resized_height': 89, 'resized_width': 96, 'padding_top': 3, 'padding_bottom': 4, 'padding_left': 0, 'padding_right': 0, 'scale': 3.5555555555555554}",GREEN,False,ABSTAIN,False,All immediate drift features are within limits.,0.5541932957306597,0.10259494185447693,1
record_000795936:0,artifacts/input_files/record_000795936.npy,0,0,Normal,False,0.44159361720085144,1.0357967615127563,ABSTAIN,Confidence is below the frozen abstain threshold.,True,0.9441788792610168,0.1,0.3883853554725647,0.05320826172828674,False,0.7762330770492554,Normal,0.44159361720085144,Edge-Loc,0.3883853554725647,Edge-Ring,0.16908665001392365,0.010162109902012162,0.44159361720085144,5.961342594673624e-06,6.532565044459204e-10,0.3883853554725647,0.16908665001392365,0.00017860796651802957,4.003675613262203e-08,1.2398889737141872e-07,0.0007496452308259904,29,26,562,55,0.09786476868327403,"{'source_height': 29, 'source_width': 26, 'resized_height': 96, 'resized_width': 86, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 5, 'padding_right': 5, 'scale': 3.310344827586207}",GREEN,False,ABSTAIN,False,All immediate drift features are within limits.,0.471411421570977,0.05320826172828674,1
record_000651800:0,artifacts/input_files/record_000651800.npy,0,0,Normal,False,0.444192498922348,1.072948694229126,ABSTAIN,Confidence is below the frozen abstain threshold.,True,0.9441788792610168,0.1,0.2782345116138458,0.1659579873085022,True,0.7762330770492554,Normal,0.444192498922348,Edge-Loc,0.2782345116138458,Edge-Ring,0.2774951756000519,0.01562695251777768,0.444192498922348,3.2483947052242e-06,1.8906833043619287e-10,0.2782345116138458,0.2774951756000519,3.501721585053019e-05,1.0229938141037564e-07,1.7412097577107488e-06,3.773056960199028e-05,30,34,776,183,0.23582474226804123,"{'source_height': 30, 'source_width': 34, 'resized_height': 85, 'resized_width': 96, 'padding_top': 5, 'padding_bottom': 6, 'padding_left': 0, 'padding_right': 0, 'scale': 2.823529411764706}",GREEN,False,ABSTAIN,False,All immediate drift features are within limits.,0.4883199948226973,0.1659579873085022,1
record_000405183:0,artifacts/input_files/record_000405183.npy,0,1,Center,True,0.45012709498405457,1.0797549486160278,ABSTAIN,Confidence is below the frozen abstain threshold.,False,,,0.30770623683929443,0.14242085814476013,True,0.7762330770492554,Center,0.45012709498405457,Donut,0.30770623683929443,Loc,0.23973488807678223,0.03506835855660029,9.810258052311838e-05,0.45012709498405457,0.30770623683929443,1.2068987871316494e-06,1.2083479772329042e-09,0.23973488807678223,3.323958708278951e-08,0.002256951527670026,7.54624416003935e-05,29,26,564,145,0.2570921985815603,"{'source_height': 29, 'source_width': 26, 'resized_height': 96, 'resized_width': 86, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 5, 'padding_right': 5, 'scale': 3.310344827586207}",GREEN,False,ABSTAIN,False,All immediate drift features are within limits.,0.4914176546873768,0.14242085814476013,1
record_000391603:0,artifacts/input_files/record_000391603.npy,0,2,Donut,True,0.4595399796962738,1.0166207551956177,ABSTAIN,Confidence is below the frozen abstain threshold.,False,,,0.4040023684501648,0.05553761124610901,True,0.7762330770492554,Donut,0.4595399796962738,Center,0.4040023684501648,Loc,0.13150988519191742,0.03506835855660029,5.138020924277953e-07,0.4040023684501648,0.4595399796962738,4.300428827264113e-06,1.9482737201315103e-08,0.13150988519191742,3.0336980927359036e-08,0.004935537464916706,7.4143490564893e-06,35,40,1080,314,0.29074074074074074,"{'source_height': 35, 'source_width': 40, 'resized_height': 84, 'resized_width': 96, 'padding_top': 6, 'padding_bottom': 6, 'padding_left': 0, 'padding_right': 0, 'scale': 2.4}",GREEN,False,ABSTAIN,False,All immediate drift features are within limits.,0.46268404499102517,0.05553761124610901,1
record_000769439:0,artifacts/input_files/record_000769439.npy,0,0,Normal,False,0.4637911915779114,1.2159039974212646,ABSTAIN,Confidence is below the frozen abstain threshold.,True,0.9441788792610168,0.1,0.25549617409706116,0.20829501748085022,True,0.7762330770492554,Normal,0.4637911915779114,Loc,0.25549617409706116,Edge-Loc,0.2258966714143753,0.009227203008776996,0.4637911915779114,0.0008944942383095622,2.034469616774004e-05,0.2258966714143753,0.002555801998823881,0.25549617409706116,1.4614511201216374e-06,8.669139788253233e-05,0.05125712975859642,44,41,1376,168,0.12209302325581395,"{'source_height': 44, 'source_width': 41, 'resized_height': 96, 'resized_width': 89, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 3, 'padding_right': 4, 'scale': 2.1818181818181817}",GREEN,False,ABSTAIN,False,All immediate drift features are within limits.,0.553381757132606,0.20829501748085022,1
record_000719040:0,artifacts/input_files/record_000719040.npy,0,3,Edge-Loc,True,0.4642024338245392,0.9904965162277222,ABSTAIN,Confidence is below the frozen abstain threshold.,False,,,0.45162150263786316,0.012580931186676025,True,0.7762330770492554,Edge-Loc,0.4642024338245392,Normal,0.45162150263786316,Center,0.04715278372168541,0.011045578503399156,0.45162150263786316,0.04715278372168541,2.097152247415579e-07,0.4642024338245392,0.0004242129798512906,0.03491862863302231,9.93118646874791e-07,7.538122645200929e-06,0.0016716108657419682,41,40,1256,175,0.1393312101910828,"{'source_height': 41, 'source_width': 40, 'resized_height': 96, 'resized_width': 94, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 1, 'padding_right': 1, 'scale': 2.341463414634146}",GREEN,False,ABSTAIN,False,All immediate drift features are within limits.,0.4507943914538492,0.012580931186676025,1
